jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
90,37,盒8上,4093.7,72,2,24.3,36,1.5,4.4,0.5,197.1,11.1,2.5,35.2,31.1,1
90,37,盒8上,4093.8,72.1,2.1,24.6,38.3,1.4,4.5,0.6,195,11.5,2.5,40.8,37.2,1
90,37,盒8上,4094,72.3,2.1,25.1,40.1,1.4,4.7,0.6,193.8,11.9,2.6,45.6,42.6,1
90,37,盒8上,4094.1,72.5,2.1,25.6,40.7,1.1,5.3,0.6,191.8,12.4,2.6,49,46,1
90,37,盒8上,4094.2,72.7,2.2,25.6,41.8,1,6.2,0.7,192.8,13.2,2.6,48.8,46.2,1
90,37,盒8上,4094.3,73,2.4,25.1,44.1,1.1,7.4,0.7,198.1,15.5,2.6,46.1,44.8,1
90,37,盒8上,4094.5,73.2,2.6,24.7,51.2,1.5,8.7,0.8,204.8,20.4,2.6,42.3,42.1,1
90,37,盒8上,4094.6,73.4,2.6,24.9,77.8,2.7,10.2,1.1,214,27.8,2.6,38,38.3,1
90,37,盒8上,4094.7,73.6,2.4,25.6,101.9,3.9,10.8,1.4,221.1,34.7,2.6,34.5,34.7,1
90,38,盒8上,4150.7,62.9,2.7,24.6,120,4.6,11,2.2,206.7,19.9,2.7,105,102.4,1
90,38,盒8上,4150.8,62.6,2.7,24.6,116.1,4.1,10.9,2.2,205.1,19.1,2.7,111.4,107.9,1
90,38,盒8上,4151,62.2,2.7,24.6,112,3.6,10.6,2.2,204.1,18.4,2.7,113.8,110.6,1
90,38,盒8上,4151.1,61.9,2.6,24.6,106.8,3.2,10.3,2.2,203.7,18,2.7,113.1,110.6,1
90,38,盒8上,4151.2,61.6,2.7,24.6,102.5,3,10.2,2.2,204.1,17.7,2.7,109,107.1,1
90,38,盒8上,4151.3,61.4,2.7,24.6,100.5,3.1,10,2.1,205.2,17.7,2.7,103.4,102.1,1
90,38,盒8上,4151.5,61.2,2.7,24.5,100.7,3.3,10,2,206.7,17.7,2.7,98.8,97.9,1
90,38,盒8上,4151.6,61,2.7,24.5,104.6,3.6,10.3,1.9,208.1,17.4,2.7,96.4,96,1
90,38,盒8上,4151.7,60.9,2.7,24.5,108.9,4,10.4,1.8,209,17.4,2.7,96.3,95.8,1
90,38,盒8上,4151.8,60.9,2.6,24.5,111,4.2,10.4,1.8,208.9,17.7,2.7,98.9,97.8,1
90,38,盒8上,4152,60.9,2.6,24.5,109.6,4.1,10.5,1.8,208.1,17.6,2.7,103.3,101.3,1
90,38,盒8上,4152.1,60.9,2.6,24.4,105.4,3.8,10.6,1.7,206.6,17.2,2.7,107.9,104.9,1
90,38,盒8上,4152.2,61,2.6,24.5,100.2,3.6,10.6,1.7,205.1,16.7,2.6,110.9,107.1,1
90,38,盒8上,4152.3,61.2,2.7,24.5,94.9,3.2,10.9,1.6,204.4,16.1,2.6,112.2,107.7,1
90,38,盒8上,4152.5,61.3,2.7,24.5,92,2.8,11.2,1.5,204.4,15.7,2.6,112.3,107.7,1
90,38,盒8上,4152.6,61.5,2.7,24.5,89.8,2.6,11.2,1.5,204.2,15.6,2.6,113.4,108.7,1
90,38,盒8上,4152.7,61.8,2.6,24.5,87.8,2.5,10.7,1.6,203.9,15.9,2.6,115,109.2,1
90,38,盒8上,4152.8,62,2.5,24.6,89.3,2.3,10.2,1.8,203.4,16.1,2.6,114.3,107.3,1
90,38,盒8上,4153,62.2,2.5,24.6,92,2.3,9.6,2,203.3,16,2.6,111.5,104.3,1
90,38,盒8上,4153.1,62.5,2.5,24.6,95.5,2.5,9.5,2.1,204.3,16,2.6,108.3,101.4,1
90,38,盒8上,4153.2,62.7,2.5,24.6,101.5,2.9,9.6,2.1,206.1,16.6,2.6,103.8,97.8,1
90,38,盒8上,4153.3,62.9,2.5,24.5,105.7,3.3,10,2.1,208,17.9,2.6,98,93.1,1
90,38,盒8上,4153.5,63.1,2.6,24.5,108.5,3.9,10.5,1.9,209.3,19.4,2.6,94,89.4,1
90,38,盒8上,4153.6,63.3,2.7,24.5,112,4.4,10.6,1.7,210.1,20.3,2.6,92.2,87.3,1
90,38,盒8上,4153.7,63.5,2.7,24.6,114,4.8,10.4,1.7,210.2,20.8,2.6,92.5,87.8,1
90,38,盒8上,4153.8,63.7,2.6,24.6,115.4,5,10.3,1.7,209.8,21.2,2.6,96.8,92.2,1
90,38,盒8上,4154,63.9,2.6,24.7,116.7,5.2,10.4,1.7,207.8,21.5,2.7,107.2,101,1
90,38,盒8上,4154.1,64,2.6,24.6,116.9,5.1,11.1,1.7,204.3,21.2,2.7,121.4,111,1
90,38,盒8上,4154.2,64.2,2.7,24.6,116.6,4.8,12.2,1.7,200.2,20.3,2.6,133.5,116.1,1
90,38,盒8上,4154.3,64.3,2.7,24.5,114.8,4.6,13.7,1.6,199.8,19.2,2.6,129.3,106.9,1
90,38,盒8上,4154.5,64.4,2.8,24.5,112.2,4.5,15,1.5,206.5,18.9,2.6,105.3,85.7,1
90,38,盒8上,4154.6,64.5,2.7,24.9,113.9,4.6,16.1,1.5,221.7,20.4,2.6,75,62.6,1
90,38,盒8上,4154.7,64.6,2.7,25.3,122.6,5.1,16.7,1.6,242.1,24.4,2.6,53.2,46.2,1
90,38,盒8上,4154.8,64.8,2.7,25.7,139.2,6,16.8,1.8,260.4,29.7,2.6,40.4,36.6,1
90,39,山1,4215.1,68.4,2.5,24.3,85,2.2,7,2.1,207.6,14.6,2.7,95.1,103.9,1
90,39,山1,4215.2,68.4,2.5,24.3,81.1,2,6.8,2.1,207.4,13.9,2.6,96.3,105.5,1
90,39,山1,4215.3,68.4,2.4,24.3,77,1.8,6.8,2,207.2,13.2,2.6,98.2,107.9,1
90,39,山1,4215.5,68.3,2.4,24.2,75.3,1.5,6.9,2,207,12.8,2.6,100.8,111.5,1
90,39,山1,4215.6,68.2,2.4,24.2,73.9,1.4,6.7,2,208.1,12.5,2.6,104.5,116.5,1
90,39,山1,4215.7,68.1,2.5,24.2,72.5,1.2,6.5,2,209.5,12.3,2.6,108.6,122.3,1
90,39,山1,4215.8,68,2.5,24.2,72.4,1.4,6.2,1.9,210.9,12.4,2.6,113.5,129.4,1
90,39,山1,4216,67.9,2.5,24.2,71,1.7,5.9,1.8,210.6,12.6,2.6,118.8,136.1,1
90,39,山1,4216.1,67.8,2.5,24.3,70.5,2,5.5,1.7,209.8,12.6,2.6,121.8,141.6,1
90,39,山1,4216.2,67.7,2.5,24.3,70.9,2.3,5.1,1.5,208.6,12.7,2.6,124.4,147.1,1
90,39,山1,4216.3,67.5,2.5,24.3,68.7,2.3,4.8,1.5,209.6,13.3,2.6,127.4,151.5,1
90,39,山1,4216.5,67.4,2.4,24.2,63.8,2.1,4.4,1.5,211.2,13.8,2.6,127.8,153.3,1
90,39,山1,4216.6,67.3,2.3,24.2,57.4,1.8,3.8,1.5,208.9,13.5,2.6,128.5,153.4,1
90,39,山1,4216.7,67.2,2.3,24.2,50.7,1.4,3.3,1.6,208.4,12.6,2.6,128.4,152.2,1
90,39,山1,4216.8,67.2,2.4,24.2,45.4,1.3,2.8,1.5,210.7,11.1,2.6,125.1,149.1,1
90,40,山1,4217,67.1,2.6,24.2,43.4,1.4,2.7,1.4,213.1,9.4,2.6,121.6,146.4,1
90,40,山1,4217.1,67,2.6,24.2,45.6,1.7,3.5,1.3,215.4,8.6,2.6,120,145.2,1
90,40,山1,4217.2,66.9,2.3,24.3,53.6,2.1,4.4,1.1,217.5,9,2.5,118.8,144.3,1
90,40,山1,4217.3,66.8,2.2,24.3,64,2.3,5.2,1.1,218.1,10.5,2.5,119.3,144.4,1
90,40,山1,4217.5,66.7,2.3,24.2,68.5,2.4,5.6,1,215.4,12.7,2.5,119.7,144.4,1
90,40,山1,4217.6,66.6,2.3,24.2,62.2,2.2,5.3,1,213.4,14.6,2.5,118,142.9,1
90,40,山1,4217.7,66.6,2.3,24.2,50.2,1.9,5,1,212.7,14.6,2.6,114.2,138.5,1
90,40,山1,4217.8,66.5,2.2,24.2,39.9,1.6,4.5,0.9,213,11.8,2.5,109.9,133,1
90,40,山1,4218,66.4,2.1,24.2,35.6,1.3,3.9,0.9,213.3,9,2.5,106,127.9,1
90,40,山1,4218.1,66.4,2.1,24.3,35.8,0.9,3.5,0.9,213.7,7.6,2.5,102.9,123.3,1
90,40,山1,4218.2,66.3,2.2,24.4,35.4,0.8,3.1,1,215.3,7.3,2.5,99.1,118.7,1
90,40,山1,4218.3,66.3,2.4,24.5,33.4,0.7,2.8,1.1,219.2,7.2,2.5,95.7,115,1
90,40,山1,4218.5,66.3,2.5,24.8,31.3,0.6,2.4,1.1,223.1,7.2,2.5,93.5,112.7,1
90,40,山1,4218.6,66.4,2.5,24.9,32.4,0.7,2.2,1.2,227,7.1,2.5,92.2,111.2,1
90,40,山1,4218.7,66.4,2.5,24.8,34.1,0.7,2.2,1.2,224.3,7.1,2.5,92.3,111,1
90,40,山1,4218.8,66.5,2.4,24.5,36.1,0.9,2.4,1.1,218.3,7.3,2.5,93.8,111.9,1
90,40,山1,4219,66.6,2.3,24.4,37.1,0.9,2.6,1.1,216.1,7.6,2.5,95.4,112.6,1
90,40,山1,4219.1,66.8,2.2,24.2,37.3,0.7,3.1,1.1,216,7.8,2.5,96.1,112.6,1
90,40,山1,4219.2,66.9,2.2,24.2,39.6,0.5,3.5,1.2,217.5,7.8,2.5,97,112.9,1
90,40,山1,4219.3,67.1,2.2,24.2,43.7,0.5,4.1,1.4,218.2,7.7,2.5,98.9,114.1,1
90,40,山1,4219.5,67.3,2.5,24.3,46.3,0.6,4.6,1.4,218.9,7.6,2.5,101.5,115.6,1
90,40,山1,4219.6,67.5,2.6,24.3,50.3,0.9,4.9,1.5,218.2,7.6,2.6,104.8,117.1,1
90,40,山1,4219.7,67.8,2.6,24.3,55.7,1.2,5.4,1.6,216.1,7.9,2.6,107.2,117,1
