jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
29,44,2-盒8下,4314.81,50.9086,2.4846,25.6047,25.4702,1.9647,4.797,1.1467,192.3813,2.6929,2.4303,174.4037,153.2241,1
29,44,2-盒8下,4314.935,50.6827,2.7251,25.7012,26.9181,1.9969,5.2154,1.1962,203.679,3.909,2.5536,141.6041,118.1774,1
29,44,2-盒8下,4315.06,50.498,2.7836,26.453,29.0396,2.0354,5.5785,1.188,226.8839,6.9445,2.5564,98.3883,82.2342,1
29,44,2-盒8下,4315.185,50.368,2.7576,27.3218,32.1027,2.072,5.9349,1.1751,240.6016,9.6877,2.51,63.5152,55.0339,1
29,44,2-盒8下,4315.31,50.289,2.7537,27.5515,33.5976,2.066,6.4617,1.204,245.3902,9.2922,2.4666,40.3773,36.9585,1
29,44,2-盒8下,4315.435,50.2573,2.7063,27.4253,37.5199,2.0558,6.8313,1.2175,247.0134,8.483,2.4199,28.8713,28.6036,1
29,44,2-盒8下,4315.56,50.3052,2.5774,27.0416,37.8512,1.9415,6.8639,1.2,244.2025,8.202,2.3584,26.1428,27.3903,1
29,44,2-盒8下,4315.685,50.3873,2.4304,26.5299,36.8339,1.7767,6.9692,1.2061,241.4907,7.9744,2.3017,28.0156,30.0457,1
29,44,2-盒8下,4315.81,50.4947,2.3987,26.8967,41.1809,1.6817,6.9773,1.1727,239.8257,7.6919,2.292,33.5469,35.6923,1
29,44,2-盒8下,4315.935,50.6216,2.4233,27.2581,48.8843,1.6286,7.1806,1.1805,239.8764,7.1935,2.3372,44.7176,46.5985,1
29,44,2-盒8下,4316.06,50.7601,2.3588,26.6299,52.4426,1.6611,7.635,1.2261,238.1319,6.9664,2.3873,64.2737,67.1482,1
29,44,2-盒8下,4316.185,50.9039,2.2401,25.4229,50.7964,1.7586,7.7155,1.2056,229.8535,7.0532,2.453,101.0922,107.5117,1
29,44,2-盒8下,4316.31,51.0457,2.1886,24.1681,49.6515,1.7933,7.7457,1.183,218.7997,7.1493,2.521,162.5884,174.593,1
29,44,2-盒8下,4316.435,51.1795,2.2666,23.6982,48.8534,1.8161,7.7672,1.1764,206.5408,6.9992,2.5813,231.0852,258.9592,1
31,50,盒8,3887.5239,61.4086,2.4878,23.4745,58.8894,1.4762,6.2997,1.1102,220.4143,7.471,2.5694,77.041,91.496,1
31,50,盒8,3887.6489,61.0142,2.2637,23.6214,39.4887,1.1931,4.8988,0.8899,221.1243,8.593,2.54,67.599,80.1668,1
31,50,盒8,3887.7739,60.6683,2.1775,23.7628,34.8438,1.0713,4.3369,0.8027,226.0684,9.4167,2.526,57.8165,68.5164,1
31,50,盒8,3887.8989,60.379,2.1632,23.9192,35.1721,1.1171,4.4794,0.8468,231.0832,9.3729,2.5091,49.709,58.8197,1
31,50,盒8,3888.0239,60.1372,2.1831,23.9335,34.5462,1.2083,4.8117,0.9279,235.0107,9.5894,2.4943,44.7205,52.5256,1
31,50,盒8,3888.1489,59.9495,2.2359,23.8839,32.3558,1.2106,5.0867,1.0052,235.8086,9.1403,2.4914,42.5074,49.4234,1
31,50,盒8,3888.2739,59.8078,2.3299,23.7956,32.6244,1.1721,5.3796,1.089,233.1468,8.6307,2.4969,43.1241,49.5384,1
